state,year,births,deaths,natural_increase
Putrajaya,2015,2869,193,2676
Sabah,2015,54699,12511,42188
Sarawak,2015,39754,12200,27554
Selangor,2015,108131,23804,84327
Terengganu,2015,27629,6715,20914
Johor,2016,59561,19924,39637
Kedah,2016,35967,13771,22196
Kelantan,2016,38455,10809,27646
Kuala Lumpur,2016,25739,8077,17662
Labuan,2016,1752,277,1475
Malacca,2016,14402,5186,9216
Negeri Sembilan,2016,18036,6810,11226
Pahang,2016,27626,8878,18748
Penang,2016,21781,10729,11052
Perak,2016,35685,17820,17865
Perlis,2016,4392,1884,2508
Putrajaya,2016,2569,163,2406
Sabah,2016,52071,12834,39237
Sarawak,2016,37985,12608,25377
Selangor,2016,104661,25588,79073
Terengganu,2016,27521,6843,20678
Johor,2017,61085,20662,40423
Kedah,2017,36693,14332,22361
Kelantan,2017,39122,11203,27919
Kuala Lumpur,2017,24732,8205,16527
Labuan,2017,1685,247,1438
Malacca,2017,14389,5523,8866
Negeri Sembilan,2017,18078,7111,10967
Pahang,2017,27555,9261,18294
Penang,2017,21464,10727,10737
Perak,2017,34838,18047,16791
Perlis,2017,4447,2004,2443
Putrajaya,2017,2517,229,2288
Sabah,2017,52528,13719,38809
Sarawak,2017,37654,13117,24537
Selangor,2017,103987,26733,77254
Terengganu,2017,27911,7048,20863
Johor,2018,61084,21117,39967
Kedah,2018,35643,14552,21091
Kelantan,2018,38360,11316,27044
Kuala Lumpur,2018,24235,8485,15750
Labuan,2018,1691,287,1404
Malacca,2018,14388,5407,8981
Negeri Sembilan,2018,18177,7298,10879
Pahang,2018,27006,9246,17760
Penang,2018,20705,11209,9496
Perak,2018,33869,18600,15269
Perlis,2018,4371,2042,2329
Putrajaya,2018,2400,218,2182
Sabah,2018,53025,13940,39085
Sarawak,2018,36624,13828,22796
Selangor,2018,102125,27387,74738
Terengganu,2018,28242,7099,21143
Johor,2019,60261,21799,38462
Kedah,2019,34511,14302,20209
Kelantan,2019,36858,11410,25448
Kuala Lumpur,2019,23921,8845,15076
Labuan,2019,1678,298,1380
Malacca,2019,14136,5547,8589
Negeri Sembilan,2019,17464,7168,10296
Pahang,2019,25887,9179,16708
Penang,2019,20200,10896,9304
Perak,2019,33005,18740,14265
Perlis,2019,4060,1996,2064
Putrajaya,2019,2316,209,2107
Sabah,2019,52973,14713,38260
Sarawak,2019,36672,14025,22647
Selangor,2019,98836,27786,71050
Terengganu,2019,27085,7341,19744
Johor,2020,56908,20680,36228
Kedah,2020,33828,13674,20154
Kelantan,2020,36275,10939,25336
Kuala Lumpur,2020,23199,8369,14830
Labuan,2020,1714,319,1395
Malacca,2020,13855,5452,8403
Negeri Sembilan,2020,17120,7026,10094
Pahang,2020,25344,8695,16649
Penang,2020,19645,10717,8928
Perak,2020,31582,17959,13623
Perlis,2020,4101,1950,2151
Putrajaya,2020,2143,214,1929
Sabah,2020,49587,14882,34705
Sarawak,2020,35449,14124,21325
Selangor,2020,93577,25443,68134
Terengganu,2020,27177,6738,20439
Johor,2021,49990,27002,22988
Kedah,2021,33040,18470,14570
Kelantan,2021,34764,13927,20837
Kuala Lumpur,2021,21046,13382,7664
Labuan,2021,1522,518,1004
Malacca,2021,13192,7094,6098
Negeri Sembilan,2021,16777,9179,7598
Pahang,2021,24507,10382,14125
Penang,2021,18571,14010,4561
Perak,2021,30816,21340,9476
Perlis,2021,4076,2234,1842
Putrajaya,2021,2106,266,1840
Sabah,2021,41608,18884,22724
Sarawak,2021,31274,17608,13666
Selangor,2021,90118,42165,47953
Terengganu,2021,26337,8470,17867
Johor,2022,48254,25342,22912
Kedah,2022,30796,17637,13159
Kelantan,2022,33808,13445,20363
Kuala Lumpur,2022,19853,9998,9855
Labuan,2022,1374,393,981
Malacca,2022,13105,6635,6470
Negeri Sembilan,2022,15991,8645,7346
Pahang,2022,23568,11031,12537
Penang,2022,17731,12937,4794
Perak,2022,29543,22358,7185
Perlis,2022,3746,2422,1324
Putrajaya,2022,1839,253,1586
Sabah,2022,43617,17414,26203
Sarawak,2022,30937,16633,14304
Selangor,2022,83658,32951,50707
Terengganu,2022,25304,8686,16618
Johor,2023,56156,24705,31451
Kedah,2023,33811,16643,17168
Kelantan,2023,35705,11839,23866
Kuala Lumpur,2023,21442,9646,11796
Labuan,2023,1409,333,1076
Malacca,2023,13583,6190,7393
Negeri Sembilan,2023,16570,8232,8338
Pahang,2023,24162,10508,13654
Penang,2023,19579,12304,7275
Perak,2023,30759,20839,9920
Perlis,2023,3878,2171,1707
Putrajaya,2023,1713,284,1429
Sabah,2023,46412,16610,29802
Sarawak,2023,33920,16158,17762
Selangor,2023,90535,32646,57889
Terengganu,2023,26127,7857,18270
