year,sex,age,ethnicity,population
2001,both,25-29,other_noncitizen,249.8
2001,both,30-34,overall,1854.1
2001,both,30-34,bumi_malay,841.9
2001,both,30-34,bumi_other,194.9
2001,both,30-34,chinese,463.2
2001,both,30-34,indian,140.1
2001,both,30-34,other_citizen,17.5
2001,both,30-34,other_noncitizen,196.6
2001,both,35-39,overall,1702.6
2001,both,35-39,bumi_malay,778.2
2001,both,35-39,bumi_other,173.6
2001,both,35-39,chinese,451.6
2001,both,35-39,indian,132.3
2001,both,35-39,other_citizen,16.3
2001,both,35-39,other_noncitizen,150.6
2001,both,40-44,overall,1490.6
2001,both,40-44,bumi_malay,688.1
2001,both,40-44,bumi_other,138.6
2001,both,40-44,chinese,431.7
2001,both,40-44,indian,123.3
2001,both,40-44,other_citizen,14.5
2001,both,40-44,other_noncitizen,94.5
2001,both,45-49,overall,1250.1
2001,both,45-49,bumi_malay,580
2001,both,45-49,bumi_other,108.1
2001,both,45-49,chinese,389.3
2001,both,45-49,indian,105.7
2001,both,45-49,other_citizen,12.2
2001,both,45-49,other_noncitizen,54.8
2001,both,50-54,overall,934.2
2001,both,50-54,bumi_malay,428.2
2001,both,50-54,bumi_other,80.8
2001,both,50-54,chinese,310.9
2001,both,50-54,indian,72.9
2001,both,50-54,other_citizen,8
2001,both,50-54,other_noncitizen,33.4
2001,both,55-59,overall,684.9
2001,both,55-59,bumi_malay,310.4
2001,both,55-59,bumi_other,60.3
2001,both,55-59,chinese,242.2
2001,both,55-59,indian,48.7
2001,both,55-59,other_citizen,5.4
2001,both,55-59,other_noncitizen,17.9
2001,both,60-64,overall,537.8
2001,both,60-64,bumi_malay,244.7
2001,both,60-64,bumi_other,48.1
2001,both,60-64,chinese,190.2
2001,both,60-64,indian,37.4
2001,both,60-64,other_citizen,4.2
2001,both,60-64,other_noncitizen,13.1
2001,both,65-69,overall,392.5
2001,both,65-69,bumi_malay,178.8
2001,both,65-69,bumi_other,36.3
2001,both,65-69,chinese,138.7
