year,age_group,ethnicity,population
2020,35-39,other_citizen,19.3
2020,35-39,other_noncitizen,297.5
2020,40-44,bumi_malay,1085.5
2020,40-44,bumi_other,223.6
2020,40-44,chinese,524.6
2020,40-44,indian,149.8
2020,40-44,other_citizen,14.2
2020,40-44,other_noncitizen,197.1
2020,45-49,bumi_malay,908.1
2020,45-49,bumi_other,199.6
2020,45-49,chinese,481.9
2020,45-49,indian,126.6
2020,45-49,other_citizen,11
2020,45-49,other_noncitizen,116.7
2020,50-54,bumi_malay,789.3
2020,50-54,bumi_other,176.8
2020,50-54,chinese,435.9
2020,50-54,indian,111.8
2020,50-54,other_citizen,9.1
2020,50-54,other_noncitizen,63.1
2020,55-59,bumi_malay,737.3
2020,55-59,bumi_other,151.9
2020,55-59,chinese,417
2020,55-59,indian,108.1
2020,55-59,other_citizen,7.9
2020,55-59,other_noncitizen,37.6
2020,60-64,bumi_malay,573
2020,60-64,bumi_other,116.7
2020,60-64,chinese,347
2020,60-64,indian,84.9
2020,60-64,other_citizen,6.2
2020,60-64,other_noncitizen,24.3
2020,65-69,bumi_malay,469.2
2020,65-69,bumi_other,95.3
2020,65-69,chinese,231.7
2020,65-69,indian,61.8
2020,65-69,other_citizen,6.5
2020,65-69,other_noncitizen,52.9
2020,70-74,bumi_malay,306.4
2020,70-74,bumi_other,58.4
2020,70-74,chinese,174.2
2020,70-74,indian,40.6
2020,70-74,other_citizen,4
2020,70-74,other_noncitizen,28
2020,75-79,bumi_malay,155.6
2020,75-79,bumi_other,37.4
2020,75-79,chinese,100.1
2020,75-79,indian,18.8
2020,75-79,other_citizen,2
2020,75-79,other_noncitizen,15.4
2020,80-84,bumi_malay,87.7
2020,80-84,bumi_other,20.1
2020,80-84,chinese,62.6
2020,80-84,indian,11.2
2020,80-84,other_citizen,0.9
2020,80-84,other_noncitizen,12.2
2020,85+,bumi_malay,61.2
2020,85+,bumi_other,17.6
2020,85+,chinese,33.8
2020,85+,indian,8.3
2020,85+,other_citizen,1
2020,85+,other_noncitizen,16.5
2025,0-4,bumi_malay,1459.2
2025,0-4,bumi_other,266.8
2025,0-4,chinese,218.9
2025,0-4,indian,91.7
2025,0-4,other_citizen,28
2025,0-4,other_noncitizen,242.2
2025,5-9,bumi_malay,1485.5
2025,5-9,bumi_other,286.5
2025,5-9,chinese,412.5
2025,5-9,indian,124.7
2025,5-9,other_citizen,16.7
2025,5-9,other_noncitizen,190.5
2025,10-14,bumi_malay,1518.4
2025,10-14,bumi_other,288.2
2025,10-14,chinese,512.2
2025,10-14,indian,152.1
2025,10-14,other_citizen,17.7
2025,10-14,other_noncitizen,90.7
2025,15-19,bumi_malay,1419.8
2025,15-19,bumi_other,362.6
2025,15-19,chinese,561.5
2025,15-19,indian,168.1
2025,15-19,other_citizen,13.5
2025,15-19,other_noncitizen,179.7
2025,20-24,bumi_malay,1645.9
2025,20-24,bumi_other,339.4
2025,20-24,chinese,512.6
2025,20-24,indian,165.3
2025,20-24,other_citizen,19.8
2025,20-24,other_noncitizen,472.5
2025,25-29,bumi_malay,1487.1
2025,25-29,bumi_other,324.4
2025,25-29,chinese,482.4
2025,25-29,indian,157.3
2025,25-29,other_citizen,19.2
2025,25-29,other_noncitizen,616.2
2025,30-34,bumi_malay,1383.1
2025,30-34,bumi_other,332.6
2025,30-34,chinese,485.8
2025,30-34,indian,158.2
2025,30-34,other_citizen,20.6
2025,30-34,other_noncitizen,509.3
2025,35-39,bumi_malay,1455.4
2025,35-39,bumi_other,307.1
2025,35-39,chinese,525.8
2025,35-39,indian,166.7
2025,35-39,other_citizen,22.6
2025,35-39,other_noncitizen,371.9
2025,40-44,bumi_malay,1365.4
2025,40-44,bumi_other,285.2
2025,40-44,chinese,573.1
2025,40-44,indian,171.6
2025,40-44,other_citizen,18.7
2025,40-44,other_noncitizen,246.6
2025,45-49,bumi_malay,1070.4
2025,45-49,bumi_other,212.9
2025,45-49,chinese,516.1
2025,45-49,indian,145.4
2025,45-49,other_citizen,13.7
2025,45-49,other_noncitizen,146.1
2025,50-54,bumi_malay,886.4
2025,50-54,bumi_other,189
2025,50-54,chinese,472.4
2025,50-54,indian,121.4
2025,50-54,other_citizen,10.6
2025,50-54,other_noncitizen,79.4
2025,55-59,bumi_malay,756.8
2025,55-59,bumi_other,165.4
2025,55-59,chinese,422.8
2025,55-59,indian,105
2025,55-59,other_citizen,8.6
2025,55-59,other_noncitizen,47.3
2025,60-64,bumi_malay,691.4
2025,60-64,bumi_other,139.7
2025,60-64,chinese,398.6
2025,60-64,indian,99
2025,60-64,other_citizen,7.1
2025,60-64,other_noncitizen,30.5
2025,65-69,bumi_malay,516.7
2025,65-69,bumi_other,104
2025,65-69,chinese,322.9
2025,65-69,indian,74.3
2025,65-69,other_citizen,5.4
2025,65-69,other_noncitizen,67
2025,70-74,bumi_malay,409.1
2025,70-74,bumi_other,82.8
2025,70-74,chinese,201.8
2025,70-74,indian,51.6
2025,70-74,other_citizen,5.7
2025,70-74,other_noncitizen,35.3
2025,75-79,bumi_malay,247
2025,75-79,bumi_other,46.5
2025,75-79,chinese,138.4
2025,75-79,indian,31.5
2025,75-79,other_citizen,3.5
2025,75-79,other_noncitizen,19.3
2025,80-84,bumi_malay,107.8
2025,80-84,bumi_other,26
2025,80-84,chinese,64.6
2025,80-84,indian,13.5
2025,80-84,other_citizen,1.8
2025,80-84,other_noncitizen,15.3
2025,85+,bumi_malay,75.8
2025,85+,bumi_other,20.6
2025,85+,chinese,27.3
2025,85+,indian,8.8
2025,85+,other_citizen,1.2
2025,85+,other_noncitizen,20.8
